Jv,Ja,nse_prof
0.201,0.501,0.9638039172665669
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.545130455847074,11.550834354357622,11.556424328171637,11.559894802947234,11.561357089093512,11.560899725141978,11.560880985822255
2019-05-16,11.364015957554594,11.367486878905938,11.370384950576568,11.37142103560963,11.369891618146196,11.365740068513215,11.361730452353461
2019-05-17,11.183991977250196,11.186456402301753,11.188085776726538,11.187977222431646,11.185100090391801,11.179400614560215,11.173802426359122
2019-05-18,11.004354632908434,11.006360920308346,11.007436187587116,11.006844150473574,11.003416073717405,10.997100882837836,10.990880753940383
2019-05-19,10.824666387872469,10.826276401011155,10.826935549211196,10.826017580203889,10.822262444891514,10.81561054552738,10.80906675655287
2019-05-20,10.645137592338884,10.64645732072044,10.646791284792808,10.645610190329839,10.6415677968037,10.63459847878773,10.62773865034472
2019-05-21,10.46583665075175,10.467042673594463,10.467206635685434,10.465855594803411,10.46159623420456,10.45436377006135,10.447237458271275
2019-05-22,10.28656635772771,10.28774396122559,10.28786484584097,10.286469439687146,10.28214673260834,10.274831221643716,10.267611577107141
2019-05-23,10.107350302865846,10.10853941995912,10.108657029286425,10.107246650727218,10.102897878241512,10.095553071685638,10.088302527761705
2019-05-24,9.928046862149529,9.929175960925221,9.929221606786406,9.927749086099716,9.92332969010207,9.915906023962139,9.90857793328045
2019-05-25,9.748265011616056,9.748990526390935,9.74868686415399,9.746998392905416,9.742397229304107,9.734802884259757,9.727340653068886
2019-05-26,9.56890907001654,9.569436674761338,9.568849927247118,9.566891140124941,9.561972510714682,9.554021058983714,9.546201659775216
2019-05-27,9.389371296542963,9.38962826673449,9.388751300608847,9.386552333996296,9.381364777601231,9.3731062720965,9.364975782887672
2019-05-28,9.209766633230315,9.209648174890381,9.208341574472806,9.205786939045492,9.200206668380286,9.191516178272689,9.182971961826999
2019-05-29,9.027420265263519,9.026818856620363,9.025549739793776,9.020886448016826,9.004947367476897,8.977692042902406,8.955359034227486
2019-05-30,8.83583146884695,8.825912810827646,8.816666855906622,8.80612548305239,8.783353999680417,8.748632510859666,8.721236334895465
2019-05-31,8.655505640565595,8.64312513320456,8.63067527477989,8.614188170567465,8.582636484109777,8.53596484151798,8.494927936322098
2019-06-01,8.472395902205108,8.457228486666581,8.440420362036019,8.418395594693605,8.379598372220185,8.324094124742523,8.273693926252305
2019-06-02,8.293417747124547,8.275179805448749,8.252381312846042,8.224321319115559,8.179385916632848,8.116800482184694,8.058820112535523
2019-06-03,8.116367321632268,8.095128925440198,8.066436568100565,8.032572793052791,7.981890803595313,7.913402669716443,7.849465923618908
