Jv,Ja,nse_prof
0.401,0.30100000000000005,0.9612169094505782
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.540082813205965,11.541629614236326,11.543475400033298,11.544764172258335,11.545301765171828,11.545098319023792,11.545374017055185
2019-05-16,11.357693961788998,11.355549308275647,11.353060693244005,11.35065307131077,11.347041495757802,11.342096006937496,11.337411610082022
2019-05-17,11.177209888761382,11.173485152326888,11.169033089264412,11.164891387878138,11.159300286302827,11.152141623518343,11.145212720639917
2019-05-18,10.997364225546193,10.992929724642943,10.987619190587937,10.982730724012988,10.976293772638034,10.96819411234753,10.960316576874408
2019-05-19,10.817508436696953,10.812514205819337,10.80661039151211,10.80125603193769,10.794354511264583,10.78577808918882,10.77743566370674
2019-05-20,10.637887993050132,10.632506324730144,10.626169872264391,10.620469103757765,10.613199067830024,10.604225658001901,10.595487796877032
2019-05-21,10.458574864476496,10.453048164655133,10.446495250939545,10.440579941734237,10.433040770472502,10.423748347632758,10.41468865267089
2019-05-22,10.279300535633949,10.273737885110044,10.267130057003008,10.261157752103927,10.25353608912448,10.244135599840433,10.234956744975918
2019-05-23,10.10009608184363,10.094548404335317,10.08793602093959,10.081943616510813,10.074286654602599,10.064845925815614,10.05562498712169
2019-05-24,9.920781368931642,9.915160588690721,9.90846179623429,9.902396973722901,9.894662758257303,9.885140667317614,9.87583953121288
2019-05-25,9.740852185813088,9.734723418445357,9.727595992431233,9.721280441028316,9.713360724777909,9.703685170214486,9.694268468692696
2019-05-26,9.56148374428401,9.55512135526717,9.547657776618403,9.541024470635932,9.532743701359426,9.522677321001169,9.512872026048433
2019-05-27,9.381879414408948,9.375190231995965,9.36738374774374,9.360474471722135,9.351898981174905,9.341508464493396,9.331374865663147
2019-05-28,9.20219493320255,9.195051910972344,9.18673422900578,9.179413698864627,9.170407756889286,9.15956643501528,9.149002015882175
2019-05-29,9.000036615294547,8.980096135929662,8.964795126283896,8.954437094907037,8.940243813624441,8.919834935473654,8.90247467075223
2019-05-30,8.794805851863915,8.752894433543826,8.719608264002282,8.699937937986684,8.681422131205757,8.659573541212461,8.643419162261214
2019-05-31,8.608072343992198,8.555792864948598,8.511707255986444,8.481534066826377,8.452535252433433,8.419074239744141,8.39071592716323
2019-06-01,8.419626996123375,8.358388650038385,8.303157171490325,8.262871095473464,8.224263048780308,8.18112807846996,8.143140117469759
2019-06-02,8.237691057743715,8.168365113449354,8.100823613706554,8.049860696123117,8.002250978335624,7.95016708083629,7.903154537789399
2019-06-03,8.058974540302929,7.982495654967676,7.903521196985247,7.842380661836963,7.785888371997959,7.725520621716117,7.670484901950642
