Jv,Ja,nse_prof
0.001,1.001,0.9623090076182093
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.543952461161753,11.547952933126705,11.551011024409146,11.551488969988158,11.547750700306763,11.539764151478574,11.532581428078995
2019-05-16,11.36194658552746,11.362561512476383,11.361428156929453,11.358024822546634,11.349420158072274,11.3354312965928,11.321842431411248
2019-05-17,11.181457658476427,11.180482041238509,11.177348522005937,11.172138161818545,11.16140135098909,11.144958443507793,11.128848617877567
2019-05-18,11.00160279367029,10.999898227348588,10.995875877712347,10.989886308673649,10.978262185993946,10.96082981535286,10.943719293412666
2019-05-19,10.821809242615204,10.819575274940991,10.814969358251927,10.808501366877866,10.796365538459384,10.778384731258932,10.7607431487672
2019-05-20,10.642221339920848,10.63962170902173,10.634594163111226,10.627771923488964,10.615231279920767,10.596787665472993,10.578683512384526
2019-05-21,10.462884501553958,10.460126058896192,10.454871403077993,10.447825554058817,10.434998904952515,10.416202864007557,10.397740080796893
2019-05-22,10.283597788127496,10.280790630442539,10.2754681023727,10.268356461848999,10.255443434858275,10.236538630758732,10.217953232094107
2019-05-23,10.104374395863253,10.101570059363931,10.096234006730613,10.08909892045619,10.076151197006617,10.057208309119481,10.038582731867239
2019-05-24,9.925062753335615,9.922187481923443,9.91676446832987,9.909551063424265,9.896507113647568,9.877449783464264,9.858711780898101
2019-05-25,9.745264482327308,9.741960578025388,9.736150131597393,9.72867622997219,9.715375925497916,9.696047865855924,9.6770893116601
2019-05-26,9.565882185371072,9.562346009384848,9.55620633255324,9.548413503537208,9.534721342625156,9.514930621166577,9.495506024400381
2019-05-27,9.386317987631685,9.382475417458213,9.375996341442619,9.36791143957375,9.353871826747373,9.333666725870593,9.313822169706164
2019-05-28,9.20667743858087,9.202410913123327,9.195434976492889,9.186921679040937,9.172375254066822,9.151580222824563,9.13116932345572
2019-05-29,9.02483125180591,9.01935101466015,9.009528875881758,8.992546170956455,8.953790588174803,8.893199409745646,8.84296605777163
2019-05-30,8.832581502501785,8.81585099596558,8.793789135906255,8.76403484741702,8.707055093895601,8.624379464799958,8.555866734455284
2019-05-31,8.650768532371771,8.628781039963995,8.598782540483308,8.557117036618465,8.483718271351712,8.379023148289214,8.285230707390241
2019-06-01,8.46584555074914,8.437959375215696,8.398829007679572,8.346203416111951,8.25901274770251,8.137495527936247,8.025896233416475
2019-06-02,8.284879899983508,8.25073922420794,8.2010375678962,8.137557614387473,8.0388995819325,7.9041540040417475,7.778459632656024
2019-06-03,8.105825295832375,8.06558918964371,8.005698234643582,7.93212876121726,7.823264153552212,7.677709350741242,7.541011181052937
