Jv,Ja,nse_prof
0.30100000000000005,0.101,0.9595668741040064
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.548832271852952,11.558318145649196,11.568312096003302,11.575865951250758,11.582991139841104,11.589936001864476,11.596934027949054
2019-05-16,11.36924632746452,11.378381030650639,11.388003872889968,11.395201230822057,11.401788139414315,11.40787087122149,11.413777894431396
2019-05-17,11.189917340268375,11.19891638835243,11.208349375178202,11.215359200321503,11.221698731839,11.22747228113358,11.233051087700286
2019-05-18,11.0106016758277,11.01953921110081,11.028904995961483,11.035858705503802,11.042131111980556,11.04782533556797,11.053324303001089
2019-05-19,10.831102508717494,10.83985862467723,10.84906431902001,10.855914567663012,10.86211331813711,10.867752587965109,10.87320591076161
2019-05-20,10.651678644401299,10.660268430414307,10.669299112738608,10.676019000456757,10.682088678173475,10.687595702495384,10.692919215038764
2019-05-21,10.472419693087172,10.4809565427624,10.489897560665824,10.496523462082596,10.502471295322637,10.507832387329444,10.513009238545852
2019-05-22,10.2931678383748,10.301700330066419,10.310628983728224,10.317238261316904,10.323155352100335,10.328471623430344,10.333597338185792
2019-05-23,10.113953320379553,10.122504288366214,10.13144055601566,10.138045898106455,10.143950171295867,10.149251407186808,10.154361093976183
2019-05-24,9.934663717572386,9.943172126044246,9.952058650518996,9.958623164963576,9.964485732478957,9.969744942782278,9.974813286696582
2019-05-25,9.754971953806292,9.763154028729275,9.77176903257197,9.778179531777194,9.7839367853734,9.789116759686229,9.79412808666577
2019-05-26,9.575648617528277,9.58368499988492,9.592089597255363,9.598302111457183,9.603838083481847,9.608783365792132,9.613562112013447
2019-05-27,9.396170546521253,9.404000133380036,9.412190036207637,9.418232159555926,9.423590626668258,9.428344722123963,9.432929854681447
2019-05-28,9.216641677893637,9.224183568616448,9.23205184518623,9.237838819140475,9.242937538439246,9.247427005349518,9.251759573170686
2019-05-29,9.043701103705615,9.05764805892592,9.071947910460729,9.082451401632088,9.088455923705217,9.091113229773542,9.09419419242097
2019-05-30,8.85959424368363,8.872483814331618,8.88807387185915,8.90130989122061,8.910618839702556,8.917415041742974,8.92551452165277
2019-05-31,8.683959397046118,8.701135360573103,8.722052018473194,8.737586356387007,8.746605312706006,8.75135183563366,8.756731169833381
2019-06-01,8.505330706701947,8.525917516431564,8.550643311665315,8.568350022885328,8.577851658457796,8.582175744685072,8.586768523479401
2019-06-02,8.329818938956002,8.35302773268926,8.379503907365631,8.398315335339868,8.408439720481807,8.412763661001838,8.41701337978808
2019-06-03,8.15560573809683,8.180985296472947,8.208632587115208,8.228112890496238,8.23851866943709,8.243037012691804,8.247411177019009
