Jv,Ja,nse_prof
0.001,0.801,0.9640971752768346
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.548102886046038,11.556010374028183,11.563252512343034,11.567179945753475,11.56752517544572,11.564388804666303,11.561785779085886
2019-05-16,11.36754083072261,11.373803470516279,11.378948857582571,11.38080094078787,11.378301213047148,11.37139985225689,11.364647006887017
2019-05-17,11.187668596651486,11.193112448597251,11.197208483461093,11.198088091929623,11.19440037998355,11.18609255157066,11.177877627344746
2019-05-18,11.008097624737214,11.013160819765362,11.01679408229498,11.017267154180661,11.013112978529172,11.004281707336384,10.995536385141795
2019-05-19,10.828485973570391,10.833217489115649,10.836496924024166,10.83668654127268,10.832235431832089,10.823090244996935,10.814046282521733
2019-05-20,10.648998574392042,10.653479447481073,10.656473185917896,10.656424825764267,10.651701443825177,10.642243421540039,10.632887506669782
2019-05-21,10.469693791869323,10.474066807987926,10.476902481313548,10.47669601660133,10.471767433608585,10.462053749662484,10.452437536180074
2019-05-22,10.290420715923478,10.294763568374941,10.29755579057686,10.297306238796583,10.292319395680897,10.282530772550913,10.272828683523617
2019-05-23,10.11119448121313,10.11554364350993,10.118330027332384,10.118066096781153,10.113056466922497,10.103242914743607,10.093514289556898
2019-05-24,9.931895821356813,9.936190049414293,9.938909101002302,9.938584486792443,9.933500119180417,9.923597514892533,9.913781483864714
2019-05-25,9.752206719055119,9.75615861556614,9.758568534450298,9.758036306512407,9.752747797719508,9.742629687488659,9.732638328850083
2019-05-26,9.572850325623072,9.576616665965291,9.57876349610164,9.577976374255039,9.572374660921684,9.56188673836637,9.551522870468128
2019-05-27,9.393348114995216,9.396869340134751,9.398744682796847,9.397723944038221,9.391844324934162,9.3810249617566,9.370325189976851
2019-05-28,9.213784701699009,9.216966596913386,9.218444272124183,9.217080679164548,9.210795471269796,9.199504021961586,9.18835104633312
2019-05-29,9.044813027423631,9.055478056427424,9.060712527496356,9.05573925773656,9.031030810277835,8.988099236802652,8.953150951059037
2019-05-30,8.862098558053916,8.871237790729502,8.873746677176058,8.862886967884403,8.82587561006858,8.76658747527123,8.717991249838237
2019-05-31,8.685548802216585,8.696565280961677,8.69935637587666,8.683600528411855,8.636397900974647,8.56157801162428,8.494503532784053
2019-06-01,8.505391722440942,8.516698673935082,8.518065370947665,8.49801453464648,8.442960046340877,8.357205289988801,8.278130567828722
2019-06-02,8.327722924331422,8.338242739701412,8.33630519728909,8.31170716620116,8.250647097264215,8.157007257035978,8.069143669073105
2019-06-03,8.151115167251863,8.16037119382305,8.154800704358449,8.125886203251499,8.059683541312515,7.960092928724926,7.865968357209094
