Datetime,Z_m+,Temp,DO,kz
2019-07-12,1.0,17.000416666666666,9.388458047916668,
2019-07-12,1.5,16.989583333333332,9.361392017500002,3.255685518756771e-05
2019-07-12,2.0,16.96291666666667,9.298829553750002,2.48993991004433e-05
2019-07-12,2.5,16.940416666666668,9.240704144166669,2.7752234670750424e-05
2019-07-12,3.0,16.9225,9.178141680416667,3.108019522224142e-05
2019-07-12,3.5,16.903333333333332,9.140426720000002,3.085160460090121e-05
2019-07-12,4.0,16.888333333333332,9.103155465000002,3.4889176058194097e-05
2019-07-12,4.5,16.875416666666666,9.073427202083334,3.073389719050314e-05
2019-07-12,5.0,16.864583333333332,9.054347869166667,2.6692722302099155e-05
2019-07-12,5.5,16.859166666666667,9.035712241666667,1.922303215759431e-05
2019-07-12,6.0,16.84208333333333,9.006427684166669,1.5204059526904324e-05
2019-07-12,6.5,16.831666666666667,8.977143126666668,1.335597766018825e-05
2019-07-12,7.0,16.82375,8.965163080416668,1.292325174085891e-05
2019-07-12,7.5,16.817083333333333,8.950964507083334,1.3430052750839248e-05
2019-07-12,8.0,16.812916666666666,8.929666647083335,1.0374955185910869e-05
2019-07-12,8.5,16.807916666666667,8.910143608750001,9.678807697799981e-06
2019-07-12,9.0,16.80125,8.892839097500001,7.821361936400613e-06
2019-07-12,9.5,16.795416666666664,8.884408694583334,6.23561519464385e-06
2019-07-12,10.0,16.787916666666668,8.870210121250002,3.2299416069267478e-06
2019-07-12,10.5,16.779166666666665,8.845362617916669,1.451838472691523e-06
2019-07-12,11.0,16.770416666666666,8.821402525416667,5.720023009827245e-07
2019-07-12,11.5,16.754166666666666,8.796111316666668,1.4e-07
2019-07-12,12.0,16.740833333333335,8.774813456666669,1.4e-07
2019-07-12,12.5,16.72125,8.73443626375,1.4e-07
2019-07-12,13.0,16.705416666666668,8.682966435416668,1.4e-07
2019-07-12,13.5,16.686666666666667,8.62439732041667,1.4e-07
2019-07-12,14.0,16.665416666666665,8.544530345416668,3.2104972171556224e-07
2019-07-12,14.5,16.64375,8.458451494583336,7.099314078445131e-07
2019-07-12,15.0,16.604583333333334,8.338651032083336,9.45856775036316e-07
2019-07-12,15.5,16.54041666666667,8.107036804583334,1.1676736623646538e-06
2019-07-12,16.0,16.45,7.787125199166668,1.3260324967804778e-06
2019-07-12,16.5,16.261666666666667,7.136653058333335,1.0242851664697353e-06
2019-07-12,17.0,15.9075,6.3069239291666666,6.027463112950621e-07
2019-07-13,1.0,17.35875,9.912474145,
2019-07-13,1.5,17.296666666666667,9.864997665416668,3.255685518756771e-05
2019-07-13,2.0,17.227916666666665,9.793561093333336,2.48993991004433e-05
2019-07-13,2.5,17.102083333333333,9.65024424375,2.7752234670750424e-05
2019-07-13,3.0,17.0425,9.517576324166669,3.108019522224142e-05
2019-07-13,3.5,17.0075,9.41330555125,3.085160460090121e-05
2019-07-13,4.0,16.97791666666667,9.32278964625,3.4889176058194097e-05
2019-07-13,4.5,16.95875,9.257564950000004,3.073389719050314e-05
2019-07-13,5.0,16.93875,9.187459494166667,2.6692722302099155e-05
2019-07-13,5.5,16.914583333333333,9.127115557500002,1.922303215759431e-05
2019-07-13,6.0,16.89625,9.072096085833335,1.5204059526904324e-05
2019-07-13,6.5,16.878333333333334,9.024619606250004,1.335597766018825e-05
2019-07-13,7.0,16.8625,8.976255715833334,1.292325174085891e-05
2019-07-13,7.5,16.8475,8.930554057916668,1.3430052750839248e-05
2019-07-13,8.0,16.832916666666666,8.897719857083334,1.0374955185910869e-05
2019-07-13,8.5,16.820833333333333,8.867104183333335,9.678807697799981e-06
2019-07-13,9.0,16.805833333333332,8.840481858333334,7.821361936400613e-06
2019-07-13,9.5,16.7925,8.814746944166668,6.23561519464385e-06
2019-07-13,10.0,16.77625,8.781912743333335,3.2299416069267478e-06
2019-07-13,10.5,16.75875,8.747747426250003,1.451838472691523e-06
2019-07-13,11.0,16.73875,8.706039117083336,5.720023009827245e-07
2019-07-13,11.5,16.72,8.669211567500001,1.4e-07
2019-07-13,12.0,16.696250000000003,8.632827723333333,1.4e-07
2019-07-13,12.5,16.665000000000003,8.555622980833334,1.4e-07
2019-07-13,13.0,16.63375,8.465107075833336,1.4e-07
2019-07-13,13.5,16.605,8.381690457500001,1.4e-07
2019-07-13,14.0,16.577916666666667,8.269432987083336,3.2104972171556224e-07
2019-07-13,14.5,16.539166666666667,8.012527550833335,7.099314078445131e-07
2019-07-13,15.0,16.482916666666664,7.719681975833335,9.45856775036316e-07
2019-07-13,15.5,16.419166666666666,7.335876790416666,1.1676736623646538e-06
2019-07-13,16.0,16.331666666666667,7.0239518825,1.3260324967804778e-06
2019-07-13,16.5,16.105416666666667,6.450684484166668,1.0242851664697353e-06
2019-07-13,17.0,15.615833333333333,5.538869852916666,6.027463112950621e-07
2019-07-14,1.0,17.55875,10.454238458750002,
2019-07-14,1.5,17.415833333333335,10.360172910416669,3.255685518756771e-05
2019-07-14,2.0,17.313750000000002,10.164498821666667,2.48993991004433e-05
2019-07-14,2.5,17.260833333333334,10.062890281250002,2.7752234670750424e-05
2019-07-14,3.0,17.2025,9.961725446250002,3.108019522224142e-05
2019-07-14,3.5,17.15041666666667,9.821514534583336,3.085160460090121e-05
2019-07-14,4.0,17.107083333333332,9.678197685,3.4889176058194097e-05
2019-07-14,4.5,17.0625,9.52511931625,3.073389719050314e-05
2019-07-14,5.0,17.027916666666666,9.377365412500003,2.6692722302099155e-05
2019-07-14,5.5,16.975416666666668,9.190565432083336,1.922303215759431e-05
