Jv,Ja,nse_prof
0.101,0.501,0.961823400117227
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.54972948960977,11.559465444869012,11.569019536207753,11.575305606174341,11.579271988623832,11.581112754794935,11.583236645709237
2019-05-16,11.369974078034963,11.379076643241032,11.387807429569412,11.393193076879681,11.395757206827835,11.39554637713312,11.395292161227067
2019-05-17,11.190488490582135,11.19925723096856,11.207542101185181,11.212495104763942,11.21449950693352,11.213597164112588,11.212611783952317
2019-05-18,11.011097252123019,11.019707814349438,11.027803788378028,11.03259128645738,11.034402620524709,11.033280214074754,11.032071388337936
2019-05-19,10.83158372893782,10.839978605694395,10.847861910946861,10.852490941534395,10.85415135839133,10.852879530565662,10.851533869853206
2019-05-20,10.65215100921886,10.660361687945267,10.668041502460358,10.672507184753531,10.673987243242745,10.672512767214169,10.670966074221196
2019-05-21,10.472872189047061,10.481010302609995,10.488577867176158,10.492928652609255,10.494258230398623,10.492596924103111,10.49086058876306
2019-05-22,10.293610732672578,10.301733468249564,10.30927608436203,10.313600171952547,10.31489003476158,10.313175103441448,10.311376718887509
2019-05-23,10.114387456051896,10.122521719844022,10.130065543760729,10.134381755997905,10.13565612501891,10.133923947432713,10.132107076926545
2019-05-24,9.935096142769071,9.943184930787895,9.95067382839868,9.954941853972214,9.95615965879088,9.954362567998537,9.95248198579754
2019-05-25,9.75544254288145,9.763223099134104,9.770441501441825,9.774537407114078,9.775601417678008,9.773652652098763,9.771651253851974
2019-05-26,9.576105803008806,9.583729662798644,9.590724584335678,9.594605910228362,9.595413574540578,9.593170986574886,9.590874899672484
2019-05-27,9.396632301291739,9.404044245442025,9.410809247718518,9.41449751736561,9.415083924907787,9.412584293841055,9.41002775163528
2019-05-28,9.217106114803263,9.224224148744424,9.23064989502196,9.234053059197723,9.234316232727267,9.231452949469901,9.228547796238106
2019-05-29,9.051102978056864,9.068243737849343,9.081518872356009,9.085707667961769,9.075919255454638,9.054070510145282,9.036893662608813
2019-05-30,8.87110280511453,8.890115396851513,8.905174922493687,8.90864531581893,8.89373019200423,8.8642660009189,8.841207178904064
2019-05-31,8.6966124237747,8.72068338783138,8.740446201873288,8.7437569683347,8.724026914759408,8.685687574072427,8.65167035359843
2019-06-01,8.518553441091878,8.546018054340372,8.568670138942913,8.572063403570937,8.549239683259302,8.505432028905073,8.465087997849693
2019-06-02,8.342702603988918,8.372338909195182,8.39579397711223,8.398626406518622,8.373827143447313,8.326543809356005,8.28199491811712
2019-06-03,8.16770864800668,8.198836562766127,8.222445488515655,8.224547579677823,8.198101713274138,8.148535482708443,8.101435022531112
