Jv,Ja,nse_prof
0.101,0.801,0.9625892407772034
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.54350385228334,11.547379283516795,11.550657304306922,11.551769142526368,11.5496102759154,11.544175775013345,11.539430119198903
2019-05-16,11.36158271024224,11.362213706181187,11.361526378589732,11.359028899517822,11.352435624365514,11.341593543636984,11.331085298013411
2019-05-17,11.181172083319549,11.180311619930446,11.17775215900245,11.173570209597326,11.165000963441829,11.151896002018287,11.13906826975155
2019-05-18,11.00135500552263,10.99981392572427,10.99642648150407,10.991520018196857,10.982126431721868,10.968102376099464,10.95434575074424
2019-05-19,10.82156863250504,10.81951528443241,10.815570562288503,10.810213179942174,10.80034651833227,10.785821259958652,10.771579169221399
2019-05-20,10.64198515751207,10.639575080256252,10.635222968250352,10.629527831340578,10.619281997386134,10.6043291331136,10.589660082793309
2019-05-21,10.462658253574014,10.460099178972396,10.455531249822826,10.449622958795485,10.439105437414518,10.423820595620722,10.40881440568829
2019-05-22,10.283376340978608,10.280774061350964,10.276144552055795,10.270175506531178,10.259576093527652,10.244186890753177,10.229063541743246
2019-05-23,10.104157328027082,10.101561343625027,10.09692151285808,10.090930991510467,10.0802982201451,10.06487203899653,10.049709740392057
2019-05-24,9.92484654073727,9.922181079551619,9.917456879390027,9.911391718919944,9.900670150491605,9.885140970856135,9.869877431347623
2019-05-25,9.74502918778973,9.741926042822975,9.736813897162467,9.730497292303749,9.719543609345614,9.703779919649655,9.688327728066994
2019-05-26,9.565653592630808,9.562323677927985,9.556888839013082,9.55026160415162,9.538933597095792,9.5227368107752,9.506849630570862
2019-05-27,9.386087110246441,9.382453361427217,9.376686735687176,9.369778760668904,9.358125177627603,9.341546940012043,9.325273221229244
2019-05-28,9.206445220126058,9.202390623059339,9.196135951575023,9.18881455901231,9.176685906922808,9.15956725076437,9.14277521192201
2019-05-29,9.021130314630284,9.014053175198436,9.004743394934117,8.990918037791612,8.96005892230009,8.911720769559773,8.871616322677706
2019-05-30,8.826827221786333,8.807035204705631,8.785238610588987,8.760367135117859,8.715499417744761,8.650953985211991,8.598020405829635
2019-05-31,8.644442019007478,8.619007026334854,8.589585448783259,8.554031730644615,8.495007470325008,8.411855279069828,8.337761115507714
2019-06-01,8.459234183554173,8.427909106261291,8.38981559404077,8.344346725769144,8.273318735301755,8.175867385826244,8.086736496231326
2019-06-02,8.27843806746705,8.241083635954979,8.1928925330229,8.137402078798095,8.056205870449746,7.947263929864661,7.845968863491502
2019-06-03,8.09977384087745,8.056663556497117,7.998791783943356,7.933911416626466,7.843472631633686,7.724960115732921,7.613999258296883
