Jv,Ja,nse_prof
0.101,0.901,0.9600805890565934
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.541428639841197,11.543350563066054,11.544536560339978,11.54392365464371,11.539723038345922,11.53186344841948,11.52482794369546
2019-05-16,11.358785587644666,11.356592727161239,11.352766028263172,11.347640840397203,11.337995096878075,11.32360926580494,11.309683010275528
2019-05-17,11.17806661423202,11.173996416251075,11.167822178274871,11.160595244541787,11.148501448944598,11.131328947986852,11.11455376501796
2019-05-18,10.998107589989168,10.993182629515882,10.98596737921275,10.977829595443348,10.964701035454253,10.946376430107701,10.928437204879675
2019-05-19,10.818230267027444,10.81269417734508,10.804806779402382,10.796120592744764,10.782411571645914,10.763468503089648,10.744927602344129
2019-05-20,10.63859654027647,10.632646211026579,10.624283456847014,10.615201380202924,10.601046915433928,10.581601255080077,10.562558085650679
2019-05-21,10.459253608416331,10.453128804426527,10.444515710705046,10.435187727524227,10.42072117308648,10.400895152793257,10.3814656779967
2019-05-22,10.279964877080618,10.273787592384766,10.26510070795372,10.255700618057391,10.241138113116348,10.221190819857089,10.201625816028493
2019-05-23,10.100747285352146,10.09457455155203,10.085873502557195,10.076447403347986,10.061845585187159,10.041854736184469,10.022243961547229
2019-05-24,9.921430006726672,9.915179795806194,9.90638456305381,9.896875007235854,9.88217364772518,9.862067105142,9.842342579864315
2019-05-25,9.74155806942582,9.734827024052596,9.72560469573601,9.715817254033638,9.700857673234815,9.680489008833286,9.660553219472
2019-05-26,9.562169522504806,9.555188349637762,9.545610257238879,9.535480168792702,9.520106937947524,9.499258752175303,9.478841207536988
2019-05-27,9.382572046564677,9.375256400088949,9.365312565010065,9.35487250843667,9.33913892853421,9.31786782206904,9.2970217110939
2019-05-28,9.202891588566992,9.195112781164312,9.18463130375938,9.17373505895051,9.157475798321327,9.135605351195862,9.11418435048331
2019-05-29,9.011139426821424,8.995989654314803,8.979151569126822,8.959321494401564,8.921438811248578,8.864270856031272,8.816523876034005
2019-05-30,8.81206869401027,8.779341807323673,8.745259839954091,8.710941074884172,8.656089159658276,8.579849979976359,8.516958148138162
2019-05-31,8.627051884085072,8.585114905836015,8.539298531086587,8.490789984747924,8.418667655513545,8.3205778474023,8.233124702810812
2019-06-01,8.43946109770827,8.388539456901599,8.330197412406726,8.268441166501882,8.181345085982574,8.06601250479997,7.9606193290252065
2019-06-02,8.257016555293093,8.197331878208244,8.125258718326458,8.050327302891255,7.950332112783891,7.820837303367548,7.700626845282964
2019-06-03,8.077128905167706,8.009272554407449,7.924240549085925,7.837032695609349,7.725262937753538,7.583768326741083,7.451520670218809
