Jv,Ja,nse_prof
0.001,0.7010000000000001,0.9626243383455111
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.550178098488182,11.560039094478922,11.569373256309978,11.575025433636132,11.577412413015196,11.576701131260165,11.576387954589329
2019-05-16,11.370337953320185,11.379424449536227,11.38770920790913,11.39218899990849,11.392741740534587,11.389384130088933,11.386049294624902
2019-05-17,11.190774065739014,11.19942765227662,11.207138464188668,11.211063056985157,11.210899894480777,11.206659605602091,11.202392132078332
2019-05-18,11.011345040270678,11.01979211597375,11.0272531845863,11.030957576934167,11.030538374796784,11.026007653328145,11.021444931006359
2019-05-19,10.831824339047985,10.840038596202975,10.847260706910284,10.850779128470085,10.850170378518442,10.845443001865938,10.840697849399001
2019-05-20,10.652387191627637,10.660408316710743,10.667412697321232,10.67075127690192,10.66993652577738,10.66497129957356,10.65998950381241
2019-05-21,10.473098437027007,10.481037182533793,10.487918020431328,10.49113124787259,10.490151697936621,10.484979192489947,10.479786263871663
2019-05-22,10.293832179821468,10.30175003734114,10.308599634678934,10.311781127270368,10.310757376092202,10.305526843447002,10.300266409238368
2019-05-23,10.114604523888067,10.122530435582929,10.129378037633268,10.132549684943633,10.131509101880434,10.126260217555666,10.120980068401725
2019-05-24,9.935312355367415,9.94319133315972,9.949981417338522,9.953101198476535,9.951996621946844,9.946671380606668,9.94131633534802
2019-05-25,9.755677837419027,9.763257634336517,9.769777735876751,9.77271634478252,9.771433733830309,9.76592059830503,9.760412837445077
2019-05-26,9.576334395749072,9.58375199425551,9.59004207787584,9.592757809613953,9.591201320069947,9.585364796966266,9.579531293502002
2019-05-27,9.39686317867698,9.40406630147302,9.410118853473959,9.412630196270456,9.410830574027557,9.404704079699604,9.398576700112198
2019-05-28,9.217338333258077,9.224244438808414,9.229948919939828,9.232160179226351,9.23000557987128,9.223465921530094,9.216941907771817
2019-05-29,9.054803915232492,9.07354157731106,9.086304353303651,9.08733580112661,9.069650921329348,9.035549150331155,9.008243397702739
2019-05-30,8.876857085829982,8.898931188111463,8.913725447810958,8.912313028118092,8.885285868155067,8.837691480506862,8.799053507529711
2019-05-31,8.702938937138994,8.73045740146052,8.749643293573333,8.746842274308547,8.712737715786112,8.65285544329181,8.599139945480955
2019-06-01,8.525164808286844,8.556068323294776,8.57768355258171,8.573920093913742,8.534933695660056,8.467060171015076,8.404247735034842
2019-06-02,8.349144436505378,8.381994497448146,8.40393901198553,8.398781942108,8.356520854930068,8.28343388353309,8.214485687281641
2019-06-03,8.173760102961605,8.20776219591272,8.22935193921588,8.222764924268617,8.177893235192663,8.101284717716762,8.028446945287167
