Jv,Ja,nse_prof
0.401,0.401,0.9583540249956609
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.538007600763821,11.537600893785589,11.537354656066356,11.536918684375678,11.535414527602349,11.532785992429927,11.53077184155174
2019-05-16,11.354896839191426,11.3499283292557,11.344300342917448,11.33926501219015,11.332600968270361,11.32411172910545,11.316009322344136
2019-05-17,11.174104419673855,11.167169948647517,11.159103108536835,11.1519164228226,11.142800771805598,11.13157456948691,11.120698215906328
2019-05-18,10.99411681001273,10.986298428434555,10.977160088296616,10.969040301259477,10.958868376370416,10.946468166355766,10.934408031009841
2019-05-19,10.814170071219358,10.805693098732007,10.79584660862599,10.78716344474028,10.776419564578227,10.763425332319814,10.750784096829468
2019-05-20,10.634499375814531,10.625577455500471,10.615230360861053,10.606142652620111,10.594963985877818,10.581497779968377,10.568385799734402
2019-05-21,10.455170219318815,10.446077790109266,10.435479711821767,10.426144710462978,10.414656506144464,10.400822904805294,10.3873399249793
2019-05-22,10.275889071735957,10.266751416143842,10.256086212900929,10.246682863630136,10.23509810871317,10.221139528944342,10.207519019261163
2019-05-23,10.09668603916869,10.087561612262318,10.076888010638704,10.067460028348329,10.055834019644655,10.041828623003548,10.028159208276858
2019-05-24,9.917364834921043,9.908159304945295,9.89738947989807,9.887880262038808,9.876166255490872,9.862066801603476,9.848304679729571
2019-05-25,9.73738106744918,9.72762439967498,9.716386791004778,9.706600402758207,9.694674788667111,9.680394259398117,9.666493960097702
2019-05-26,9.557999674158008,9.547986026976947,9.5363791948442,9.526243035277016,9.51391704221116,9.499199262401271,9.484863603014558
2019-05-27,9.37836435072718,9.367993270657694,9.356009577066622,9.345568219489897,9.332912732081507,9.31782934655039,9.3031233555278
2019-05-28,9.198641301643482,9.187774069077316,9.175229581190134,9.164334198802822,9.151197648287798,9.135604535446769,9.120411154443476
2019-05-29,8.990045727485686,8.962032615046025,8.939203300476597,8.922840551516984,8.901623702572923,8.872385021945147,8.847382224108525
2019-05-30,8.78004732408785,8.725201036161865,8.67962949336738,8.650511877752992,8.622011873119266,8.588469535976825,8.562356904569736
2019-05-31,8.59068220906979,8.521900744449754,8.461420338289766,8.418292320929682,8.376195437621966,8.32779680807661,8.286079514466325
2019-06-01,8.399853910277473,8.319019000678692,8.243538989856278,8.186965536206202,8.132289399461127,8.071273197443684,8.017022950263637
2019-06-02,8.216269545569759,8.12461335570262,8.03318979901011,7.962785920216275,7.896377220669768,7.823740454339175,7.75781251958086
2019-06-03,8.036329604593185,7.935104652878006,7.828969962127814,7.745501940819844,7.667678678117808,7.584328832724276,7.508006313872567
