Jv,Ja,nse_prof
0.401,0.001,0.9617743866204242
Datetime,-14.0m,-14.5m,-15.0m,-15.5m,-16.0m,-16.5m,-17.0m
2019-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-15,11.546308450532397,11.553715775588547,11.561837631934132,11.56830063590631,11.574963477880262,11.582035298805383,11.589180543565519
2019-05-16,11.366085329581724,11.372412245335495,11.379341744223687,11.38481724867263,11.39036307822012,11.396048840433634,11.40161847329568
2019-05-17,11.186526296023969,11.192430763365,11.19882303144714,11.203816283044754,11.20879882979452,11.213842785612645,11.218756234840683
2019-05-18,11.007106472146582,11.01282361326811,11.018996497461892,11.023801992273507,11.028569961440871,11.033371950322817,11.0380422144681
2019-05-19,10.827523533129735,10.832977527081322,10.838901740170469,10.843533793529913,10.848159351323645,10.852836359795829,10.857390364338544
2019-05-20,10.648053844756923,10.653292932419157,10.658988406474398,10.663448457170718,10.667904313686636,10.672409292102468,10.676793788304916
2019-05-21,10.468788799949543,10.473959288292733,10.479541868292877,10.483885635548004,10.488193563456603,10.492524676115144,10.496734835745656
2019-05-22,10.289534927327919,10.29469729200864,10.300261589309239,10.30458241752529,10.3088500303584,10.3131238125287,10.317269922120177
2019-05-23,10.110326209868441,10.11550878055431,10.121080051842238,10.125394380998248,10.129644559476407,10.133897834251794,10.138022323656173
2019-05-24,9.931030970963443,9.936164439926998,9.94167874524294,9.945947108775169,9.950152266556575,9.954362264460014,9.958444085662798
2019-05-25,9.751265540904809,9.756020474756486,9.761223596710591,9.765320555838645,9.769418533110303,9.773557902663592,9.777591994477675
2019-05-26,9.57193595466201,9.576527340137833,9.581493521941,9.585368776712675,9.589223678804213,9.593111496800855,9.596897295150054
2019-05-27,9.392424605454242,9.396781116010771,9.40150625977508,9.405193228418842,9.408857728455091,9.412545818322407,9.416129396069179
2019-05-28,9.212855827879755,9.216885436657432,9.221248172452718,9.224652199050043,9.228038082693747,9.231452133720811,9.234774600198271
2019-05-29,9.030009278721128,9.034286698580571,9.04157060370579,9.049226725077196,9.05610414677899,9.062184676059166,9.06775201068334
2019-05-30,8.839081435192112,8.83597462568971,8.83954457590698,8.848216118687755,8.859652905465225,8.872885556919371,8.886605935335643
2019-05-31,8.66024274875942,8.657469226445121,8.66256800907647,8.671259304516463,8.681554696867835,8.69290653474674,8.704625165253947
2019-06-01,8.478946253661078,8.476497598117465,8.482011716392465,8.490587773275259,8.500183996737858,8.510692721548793,8.52149161908813
2019-06-02,8.301955594265586,8.29962038668956,8.303725057795885,8.311085023843647,8.319872251333194,8.329446960327637,8.339180592415019
2019-06-03,8.12690934743216,8.124668661236687,8.127174901557547,8.133016824888324,8.140517453638413,8.149095988691641,8.157920666184875
